Sample	Phylum	Number	Group
MDHFS34-1	Campylobacterota	0.0360141566608185	6_DHNL
MDHFS35-1	Campylobacterota	0.00581343238277322	6_DHNL
MDHFS4-1	Campylobacterota	0.000361573084927205	6_DHNL
MDHFS5-1	Campylobacterota	0.00275749188030208	6_DHNL
MDHFS6-1	Campylobacterota	0.00228307814940974	6_DHNL
MDHFS7-1	Campylobacterota	0.0288253603207296	6_DHNL
MDHFS8-1	Campylobacterota	0.00531039493965215	6_DHNL
MDHFS9-1	Campylobacterota	0.0204466669904077	6_DHNL
MDHFT10-1	Campylobacterota	0.00220634778355719	12_DHNL
MDHFT1-1	Campylobacterota	0.00203094748032722	12_DHNL
MDHFT14-1	Campylobacterota	0.00259567889539581	12_DHNL
MDHFT15-1	Campylobacterota	0.00050448897502329	12_DHNL
MDHFT16-1	Campylobacterota	0.0018919990553001	12_DHNL
MDHFT17-1	Campylobacterota	0.00702599926121238	12_DHNL
MDHFT18-1	Campylobacterota	0.000870665364039102	12_DHNL
MDHFT19-1	Campylobacterota	0.00230871253129651	12_DHNL
MDHFT20-1	Campylobacterota	0.00353028192285895	12_DHNL
MDHFT21-1	Campylobacterota	0.0038509585008697	12_DHNL
MDHFT2-1	Campylobacterota	0.000630013394125592	12_DHNL
MDHFT23-1	Campylobacterota	0.00189023876585673	12_DHNL
MDHFT24-1	Campylobacterota	0.00027008941553682	12_DHNL
MDHFT25-2	Campylobacterota	0.00114797473086178	12_DHNL
MDHFT26-2	Campylobacterota	0.00102135079010457	12_DHNL
