Sample	Phylum	Number	Group
MDHFT8-1	Actinobacteriota	0.000372529958031517	DH_JY
MDHFG10-1	Spirochaetota	0.0372940168307859	DH_FY
MDHFG11-2	Spirochaetota	0.031797201874538	DH_FY
MDHFG1-1	Spirochaetota	0.0789167643099746	DH_FY
MDHFG12-2	Spirochaetota	0.0129262814122777	DH_FY
MDHFG13-1	Spirochaetota	0.00186957646428032	DH_FY
MDHFG14-2	Spirochaetota	0.00733149237291403	DH_FY
MDHFG16-2	Spirochaetota	0.0491656781885179	DH_FY
MDHFG17-2	Spirochaetota	0.0599968075782151	DH_FY
MDHFG18-2	Spirochaetota	0.0311660256785076	DH_FY
MDHFG19-2	Spirochaetota	0.0269405856253105	DH_FY
MDHFG22-1	Spirochaetota	0.0239654328540725	DH_FY
MDHFG23-2	Spirochaetota	0.0293571339939175	DH_FY
MDHFG2-3	Spirochaetota	0.0315044840395464	DH_FY
MDHFG24-1	Spirochaetota	0.0108494772425461	DH_FY
MDHFG27-2	Spirochaetota	0.0081041414515549	DH_FY
MDHFG28-2	Spirochaetota	0.0223217032387033	DH_FY
MDHFG29-2	Spirochaetota	0.0467503200003058	DH_FY
MDHFG30-2	Spirochaetota	0.0121414262685157	DH_FY
MDHFG31-2	Spirochaetota	0.022254808995285	DH_FY
MDHFG34-2	Spirochaetota	0.00474944818743173	DH_FY
MDHFG35-2	Spirochaetota	0.0255364375128757	DH_FY
MDHFG36-1	Spirochaetota	0.0375014964278742	DH_FY
MDHFG37-2	Spirochaetota	0.0127130226400772	DH_FY
MDHFG38-2	Spirochaetota	0.028517709403508	DH_FY
MDHFG4-2	Spirochaetota	0.0171447120853841	DH_FY
MDHFG5-2	Spirochaetota	0.00158087265930454	DH_FY
MDHFG6-1	Spirochaetota	0.0314845072523065	DH_FY
MDHFG7-2	Spirochaetota	0.0176776554133269	DH_FY
MDHFG8-1	Spirochaetota	0.0425641931120188	DH_FY
MDHFG9-1	Spirochaetota	0.0292402640154373	DH_FY
MDHFT10-1	Spirochaetota	0.0107137308895228	DH_JY
MDHFT1-1	Spirochaetota	0.0225430474549218	DH_JY
MDHFT14-1	Spirochaetota	0.0133668508579051	DH_JY
MDHFT15-1	Spirochaetota	0.0179030151955218	DH_JY
MDHFT16-1	Spirochaetota	0.00780014621313225	DH_JY
MDHFT17-1	Spirochaetota	0.0197661899447795	DH_JY
MDHFT18-1	Spirochaetota	0.0220319915862355	DH_JY
MDHFT19-1	Spirochaetota	0.0117550062657961	DH_JY
MDHFT20-1	Spirochaetota	0.011235651143269	DH_JY
MDHFT21-1	Spirochaetota	0.0144209684843391	DH_JY
MDHFT2-1	Spirochaetota	0.0158195053753425	DH_JY
MDHFT23-1	Spirochaetota	0.0248402591248334	DH_JY
MDHFT24-1	Spirochaetota	0.00838656897826156	DH_JY
MDHFT25-2	Spirochaetota	0.0144222967212674	DH_JY
MDHFT26-2	Spirochaetota	0.0103794935241952	DH_JY
MDHFT27-1	Spirochaetota	0.0129007594299846	DH_JY
MDHFT29-1	Spirochaetota	0.00308774423482679	DH_JY
MDHFT30-1	Spirochaetota	0.0200367816302218	DH_JY
MDHFT31-1	Spirochaetota	0.015412758798087	DH_JY
MDHFT3-1	Spirochaetota	0.0059515794570132	DH_JY
MDHFT32-1	Spirochaetota	0.0326959525630359	DH_JY
MDHFT33-1	Spirochaetota	0.0107408210175275	DH_JY
MDHFT34-1	Spirochaetota	0.0155992053009319	DH_JY
MDHFT35-2	Spirochaetota	0.0101511839585445	DH_JY
MDHFT4-1	Spirochaetota	0.028318482407355	DH_JY
MDHFT6-1	Spirochaetota	0.0253821765756876	DH_JY
MDHFT7-1	Spirochaetota	0.0258147737118363	DH_JY
MDHFT8-1	Spirochaetota	0.015527058228522	DH_JY
MDHFG10-1	UBP6	3.71056684991124e-05	DH_FY
MDHFG11-2	UBP6	3.40094682154129e-05	DH_FY
MDHFG1-1	UBP6	3.27058030715137e-05	DH_FY
MDHFG12-2	UBP6	4.28686060331762e-05	DH_FY
MDHFG13-1	UBP6	2.85383740506682e-05	DH_FY
MDHFG14-2	UBP6	3.08389466970344e-05	DH_FY
MDHFG16-2	UBP6	3.28686597105648e-05	DH_FY
MDHFG17-2	UBP6	3.63020216502256e-05	DH_FY
MDHFG18-2	UBP6	2.70111738225512e-05	DH_FY
MDHFG19-2	UBP6	3.43499028665148e-05	DH_FY
