ID	MDHFG10-1	MDHFG11-2	MDHFG1-1	MDHFG12-2	MDHFG13-1	MDHFG14-2	MDHFG16-2	MDHFG17-2	MDHFG18-2	MDHFG19-2	MDHFG22-1	MDHFG23-2	MDHFG2-3	MDHFG24-1	MDHFG27-2	MDHFG28-2	MDHFG29-2	MDHFG30-2	MDHFG31-2	MDHFG34-2	MDHFG35-2	MDHFG36-1	MDHFG37-2	MDHFG38-2	MDHFG4-2	MDHFG5-2	MDHFG6-1	MDHFG7-2	MDHFG8-1	MDHFG9-1	MDHFT10-1	MDHFT1-1	MDHFT14-1	MDHFT15-1	MDHFT16-1	MDHFT17-1	MDHFT18-1	MDHFT19-1	MDHFT20-1	MDHFT21-1	MDHFT2-1	MDHFT23-1	MDHFT24-1	MDHFT25-2	MDHFT26-2	MDHFT27-1	MDHFT29-1	MDHFT30-1	MDHFT31-1	MDHFT3-1	MDHFT32-1	MDHFT33-1	MDHFT34-1	MDHFT35-2	MDHFT4-1	MDHFT6-1	MDHFT7-1	MDHFT8-1
d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__;s__	3.58296126224463e-05	2.69908889363899e-05	2.61990777058124e-05	3.4130007171404e-05	1.88636179950089e-05	2.65887412749121e-05	2.44708844511858e-05	4.17680352305776e-05	2.32042821222073e-05	4.4296048023333e-05	2.90354838396431e-05	2.83112337608203e-05	5.56311223367317e-05	3.50675493367173e-05	4.53362303193129e-05	1.62477468093445e-05	2.78598670914899e-05	4.67053514804114e-05	3.66754635992204e-05	1.71540223487763e-05	3.10108277846459e-05	3.29067735605202e-05	4.09630415010174e-05	3.49077942521355e-05	4.7951337190976e-05	2.28060051861526e-05	5.05422852941695e-05	4.26305278806188e-05	1.89264932653016e-05	3.90033094425637e-05	0.00266625051925667	0.000672852481085543	0.000247166108957507	0.000929064565507099	0.000858669331851072	0.000102810118439269	0.00265686648143716	0.000139723869965599	0.000190610485860196	0.000249847912496005	6.22776426221723e-05	0.000183554074536549	0.000665501447939153	0.000100076685859318	0.000646238162565844	0.000222143065696321	0.000986678679068343	6.62903269244367e-05	0.00023944607593659	0.000441255133416674	0.00094949625066202	0.000641950666384316	0.000269393602542908	0.000193779553139073	0.00136679493528548	0.000594973326110273	0.00154593213277469	0.00234856894345942
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__CETP13;s__	0.00302145384974537	0.000282155133285098	0.00188440095028884	0.000208841000830975	3.1528057216502e-05	4.85032684518743e-05	0.00164201046349147	0.00191129168836566	0.00175028735719714	0.00162072721370029	8.55745499487921e-05	0.000371508308240104	0.00316279560784284	0.000142070012090474	0.000389934503127489	0.000772339208847525	0.00146888488151478	0.000851402740067699	0.00134737347568187	4.1366221943456e-05	0.00174667117029066	0.00151539807335921	0.000275715287332255	0.00133299092764523	0.000150225478570968	5.57698314604076e-05	0.000201565638269849	0.00026599594597979	0.000139123103019012	6.437708569524e-05	0.0021559207491213	0.00307158040151747	0.00159056513589203	0.00239967058833932	0.000516640495870371	0.00124180938387434	0.00215571299194415	0.00101373977023288	0.00144306034620387	0.00246562116979363	0.00179994026931666	0.00191806306367699	0.00159414717286379	0.00375353972593773	0.00055509675149475	0.00169034670041806	0.00013661795595889	0.0033397983809534	0.00440425702763551	0.000263802106544984	0.00122997236039607	0.00423887467795437	0.000968355800789578	0.00130124974366858	0.00408011785120758	0.00238439147073365	0.00251411361503427	0.00443028809665479
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3818;s__	0.000206812349048674	8.36026614490629e-05	6.147376657527e-05	0.000131778942254359	8.23315636653206e-05	0.00014522892398339	0.00011267655266257	0.000100369337582539	0.00012189483207985	0.000116571419491278	0.000126519485562582	0.000124373251983024	0.000191861667164675	0.000139275570364938	0.000111874768696635	0.000106169709852023	0.000111548298192584	0.00012442404230768	9.28589782667467e-05	7.79429244174441e-05	8.13776780051066e-05	0.000107499612538157	0.000211480286432953	9.68304286484112e-05	0.000113616353221294	7.38979536255702e-05	0.000194188695557816	0.000160434547190894	8.62738379494764e-05	0.000193210765940038	0.000429159941841277	0.00056142484814024	0.000219165678406359	0.000171901441516153	0.000285468037650941	0.000321952614915802	0.000333560126893024	0.000669963761108177	0.000353808824198673	0.000346362070668843	0.000358422666523403	0.000322000771157208	0.000356976486584649	0.000273814813178314	0.000261081296082511	0.000436050234804003	0.000298800038649809	0.000464182745480836	0.000219735875537603	0.000228035507039917	0.000379036578657548	0.000335281024714899	0.000308677090873018	0.000463807009914826	0.000378695732335075	0.000248334765148518	0.000262847549883177	0.000256953223045078
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__UBA1784;s__	0.00473600146588605	0.00516731921794308	0.00562519097263441	0.000466728407771091	0.000310358186360161	0.0022768905867106	0.00112011926436012	0.00647243953560465	0.00486219366815559	0.00915321394336502	0.00242351249883473	0.00865413595722839	0.0065862089640485	0.00696279656837546	0.00296202501797362	0.00611581787127604	0.00688275988941416	0.0107705794891497	0.00469601397018581	0.000303603171285036	0.00809147646266195	0.00529836231006731	0.00708954617971092	0.00811995730906568	0.000506951678846358	0.000719947953193642	0.00506677109718095	0.00659898504305519	0.00628309746530894	0.000795577262823882	0.0108739219716691	0.0160921998018016	0.0128138902069577	0.0212677264487464	0.0218201629311777	0.00753484464232436	0.00975335419261095	0.00692866923664343	0.0097719582320114	0.00620360659844716	0.0143417749289793	0.014420114110943	0.00960263137754705	0.0113012245024642	0.0108037410163445	0.0133900673008685	0.00477154323663964	0.007846315516887	0.0100753614101771	0.00770527901896669	0.00823033477103267	0.0135733754723512	0.0103255110623907	0.0130491168050308	0.00875204941913112	0.0160523785166261	0.0134687302726034	0.0112603736894643
d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__	0.00273444823624893	0.00118355548391503	0.000701707329136179	0.000715040895254739	0.000625815654814633	0.00204506698777202	0.00105380617573533	0.00171096205402777	0.0014357350575784	0.00159435317611793	0.00248251949260338	0.00482067475349967	0.00249605343054879	0.00296685649872921	0.000451476409754196	0.00297997385396191	0.00281187278072411	0.00219997026910012	0.00120223151187007	2.01208775140924e-05	0.00107356229196574	0.00192417617191755	0.00317089331182295	0.00178593010703699	0.0025558097771632	0.00193272550958377	0.00259273266472475	0.00553642929417141	0.00221197796600441	0.000560707092169531	0.00549827663896733	0.00391315586862042	0.00163168823628082	0.00401363731514222	0.00236640650900718	0.00239304376358554	0.00390865884940335	0.00597606520235289	0.00339272223957396	0.00253949928301782	0.00386556929156943	0.00270555145531525	0.00309432098965582	0.00394621585917314	0.001946017732738	0.00324529365995399	0.00553702373226011	0.0020465686774439	0.00328835612496563	0.00299387829558055	0.00409290437162252	0.0021514549466663	0.00293937740261459	0.00561856269989515	0.00400215147507269	0.00276690036928499	0.00296860826584427	0.0025675874016216
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__;s__	0.000120816893838674	9.04858783258574e-05	8.86050758971591e-05	0.0001131259126678	6.43723807998944e-05	7.48486275453819e-05	8.27512706784686e-05	0.000883623481275528	7.32163877441273e-05	0.000360897921468319	9.46985002020966e-05	0.00022547070798135	0.000145257116431229	0.000117852334025357	0.000189324139077065	5.88108756499107e-05	9.7915919528707e-05	0.000416026010542331	0.000108179939525536	5.53879858901932e-05	0.000335919897006601	0.000436063707224567	0.000285655728302008	0.000110824201408958	0.00012532239379633	9.86626456797937e-05	0.000947172030280802	0.00338004330791697	6.36006608934831e-05	0.000128379223530176	0.000249606049053318	0.00231474127175648	0.00109215723659441	0.00177250272864324	0.00662368484136601	0.00221203939038236	0.00257856196846641	0.00093332006469237	0.00345578538954495	0.00256007983594246	0.00186357961195739	0.00432829154509827	0.000908084716038393	0.000268974668882232	0.00197773867490036	0.00270635680912994	0.00159923354985925	0.00073916495424449	0.00111900532936361	0.00623284454880061	0.00122959433804722	0.00113771504865319	0.000609254540451262	0.000352304773452602	0.0020216058368975	0.00546032647002712	0.00588644335080188	0.00492826159969348
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__	0.00198508901128419	0.00277045077720395	0.00273920181683727	0.00129350144841168	0.000480631222326859	0.000631875603924456	0.00198402974568968	0.00151329833448533	0.000666447984565296	0.00457779523402709	0.000836220671965449	0.00375898890875595	0.00471282872068823	0.00248153500511811	0.00822196944562487	0.00133503641221761	0.00202009778181266	0.00153625592355012	0.00248922953899704	0.000795834940926199	0.00126365953378268	0.00251092411895001	0.00632727030743523	0.00293816852282428	0.000995156637476661	0.00104041710907562	0.00260312061684867	0.00338729698613815	0.00197676642955134	0.000663377428087132	0.00594385981645724	0.00332450724247318	0.00256480866445239	0.00337221043785101	0.00220598960937125	0.00230639187990113	0.00322573158962005	0.00280799105088592	0.0036580785795263	0.00408091326553211	0.00183054852979872	0.00299145668341877	0.00637717486803549	0.00188853674300798	0.00372744263136956	0.00667433557730945	0.0010711810013253	0.00308074384800148	0.00589210923982971	0.00301037335649494	0.00586364186084413	0.00373922067258186	0.00323265611216691	0.00585713164209599	0.00544803644802795	0.00202159555761795	0.00340864058429368	0.00193465910527306
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__UBA3637;g__UBA3637;s__	7.27419887993955e-05	4.6165495624609e-05	4.04512553407224e-05	0.000169501019396409	3.73804601455696e-05	4.5117068515917e-05	3.82828440860856e-05	6.60636853312124e-05	3.68548153164532e-05	0.000108149458227055	4.41716336973683e-05	9.7822036138419e-05	6.80561355429555e-05	6.31736108678142e-05	9.55878935659672e-05	2.85820753027729e-05	5.34996689380566e-05	0.000102322727050654	5.25000960538797e-05	3.80229353552303e-05	6.60180018938849e-05	5.34919332058393e-05	6.97123412651054e-05	4.77774373064835e-05	6.92224437243639e-05	3.07953939551477e-05	8.08922010843604e-05	0.00014294859529631	3.98218328899028e-05	8.34702393509504e-05	0.00105071872577166	0.000238352490932232	0.000644161893987867	0.000461129833307152	0.000661630211164745	0.000260505942456448	0.000296042266091427	0.000510032379442247	0.000197979193616999	0.000878321241046595	0.000245371424310006	0.00136829855995094	0.000379463264823638	0.000211649566236141	0.000239475932895731	0.000417643065358283	0.000366012630193148	7.95209296017453e-05	0.000193830072390006	5.52549469473904e-05	0.00142783787561029	0.000217620446260469	0.000642149148091528	0.000123376303821472	0.000489041211735254	0.000183001887653871	0.00181506726296599	0.00113509704986242
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Niameybacter;s__	3.87270796658312e-05	0.000740903061833746	5.98528415095472e-05	0.00291524856502593	9.37547739180621e-05	4.88773779342917e-05	6.82486040711365e-05	2.95880840375369e-05	2.10697484279809e-05	1.94404658632759e-05	6.48695464820719e-05	0.000618478531077495	4.47483257240616e-05	2.01090739624303e-05	2.63699277599291e-05	1.46818731417553e-05	1.69896613265793e-05	2.22713739818518e-05	0.000489598046661744	4.81747279008663e-05	4.192000719187e-05	2.77771879853765e-05	2.68209781368255e-05	2.54199127499184e-05	0.0199033678716277	1.35448091890001e-05	2.89140267122241e-05	2.28094255197647e-05	0.00011142923860858	0.012550414269266	1.40536094276439e-05	1.44200874961892e-05	1.44977122059859e-05	1.90395255726249e-05	2.05928219052592e-05	1.88860402459319e-05	2.6792159581753e-05	2.22907686518359e-05	1.80371988401843e-05	2.51889780004422e-05	1.93692320063169e-05	2.3254997706072e-05	2.07114471197357e-05	0.000744064081062254	1.64345719786968e-05	2.03831737364755e-05	1.40703059463305e-05	2.05758006714903e-05	2.03286327747666e-05	1.70280338804379e-05	2.0575354653156e-05	1.90125183563908e-05	1.72013921237135e-05	1.89913026006592e-05	1.95045805268428e-05	1.60296560541252e-05	1.71127559346552e-05	1.53743663693064e-05
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__;g__;s__	0.000162384900686207	0.000239163913154437	0.000203059753912575	0.000147676732177572	0.000223290302382107	0.000173210262547144	0.000136680750681269	0.000203178058211709	0.000180229125179823	0.000157809048161633	0.000131497666685394	0.000138134190090674	0.000199549908283682	0.000156043885220845	0.000142125564077236	0.000120258473213979	0.000159345891250518	0.000726141200874343	0.0001734689909797	0.000164638868508567	0.00925613567786429	0.000235033356969771	0.000151159634406948	0.000183174338007894	0.000164732315379444	0.0411290473340073	0.0169026976037753	0.000157634698400984	0.000141959281825803	0.000210732171911491	0.000263766477081716	0.000318474469863332	0.00581992520312584	0.00371261241313747	0.0763100230689859	0.00127086798839821	0.000495892049019732	0.00156475850588317	0.00726439856486023	0.0060798910432136	0.00327385688424772	0.000335085098484562	0.00177045645645673	0.00044043448101771	0.0256800082232379	0.00203687714004968	0.00215387328570205	0.000484563537466357	0.054758408928846	0.0310594138331606	0.00220467852427722	0.0197741210930759	0.0400580927622551	0.000937640737375964	0.00215130048047922	0.00928185569887342	0.0110260424273457	0.0824236614246807
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__;s__	0.00720474354589219	0.00602836088982197	0.00789923106754665	0.000817700294164869	0.000494866314547151	0.00439903906298581	0.00235525662509539	0.0152522208806413	0.0093631736629697	0.0112211055307721	0.00620920829212194	0.0167154371773751	0.00641772436895215	0.0118813569943747	0.00513972057009829	0.00461167513594684	0.0105743644327665	0.012213713685371	0.00485727822660503	0.00109793537093203	0.00999188031106136	0.00905346559621654	0.0086216423366216	0.0107646211373923	0.00160058900039433	0.00140621123840417	0.0067884452114496	0.00822328865597358	0.0113969115626744	0.00135207190752408	0.023825497075211	0.0233216071183389	0.0208365018507082	0.0205123407191762	0.0183949077451982	0.0252901963156545	0.0137028033478967	0.0201417685959455	0.0138131001632407	0.0099192970899547	0.0321783648081822	0.0316459744298105	0.0234367574169576	0.0219847894748733	0.0137664714057231	0.0178625010865103	0.00660994434491275	0.0109842214767053	0.023454930928029	0.018240258348445	0.0144743453811456	0.0252898671792682	0.0163917754676718	0.0324469664093264	0.0165978051600311	0.0272269328041909	0.0173905815198709	0.025381141588621
